Course code,Course Name,similarity,Student_ID
CORE 260,Humanities,0.706248974404014,A00002
MATH 240,Linear Algebra,0.62107346465529,A00002
CSCI 210,Sophomore Seminar,0.4343948509191735,A00002
CSCI 241L,Data Structures and Algorithms Laboratory,0.42825551394488093,A00002
HSS 290,Behavioral Statistics,0.3720537592850189,A00002
CSCI 120L,Introduction to Computer Science II Laboratory,0.8666874524849374,A00003
CSCI 110L,Introduction to Computer Science I Laboratory,0.8373574034748055,A00003
MATH 125,Discrete Mathematics,0.6563145356384198,A00003
CORE 120,Critical Thinking,0.2984478332285928,A00003
CORE 150,Composition I,0.2900057454552503,A00003
SOC 100,Introduction to Sociology,0.048590018419026534,A00004
HIS 499,Senior Seminar,0.03689614033835889,A00004
PHYS 490,Senior Seminar,0.033653280559600665,A00004
BIOL 498,Senior Seminar,0.03351148875998128,A00004
BIOL 497,Senior Seminar ,0.03351148875998128,A00004
PHYS 490,Senior Seminar,0.05185482267833061,A00005
HIS 499,Senior Seminar,0.04044138158046169,A00005
BIOL 497,Senior Seminar ,0.03673150882025392,A00005
BIOL 498,Senior Seminar,0.036731508820253916,A00005
ENG 480,Senior Seminar,0.035277217012132406,A00005
CSCI 310,Junior Seminar,0.7905557425290228,A00006
NSCI 360,Statistics,0.40671882777396756,A00006
CSCI 360,Computer Networks and Distributed Systems ,0.22510639475662642,A00006
CSCI 398,Independent Study ,0.10459169166639154,A00006
PSCI 320,Selected Topics in Political Science ,0.16189738491319616,A00006
HSS 290,Behavioral Statistics,0.20027845193702554,A00007
CSCI 285,Bioinformatics I,0.08100417537313907,A00007
CSCI 280,Mathematical Modeling of Biological Systems,0.05434365000105317,A00007
GRD 210,Concept Development,0.016533469192789703,A00007
HSS 250,Introduction to Women's Studies,0.014449643901032072,A00007
MATH 130,Calculus II,0.6907500054560091,A00008
CORE 150,Composition I,0.6699976969597958,A00008
CORE 100,New Student Orientation,0.6233091351942188,A00008
CSCI 120L,Introduction to Computer Science II Laboratory,0.5926150783771713,A00008
CSCI 110L,Introduction to Computer Science I Laboratory,0.5769129268530415,A00008
CSCI 310,Junior Seminar,0.7319597062235106,A00009
MATH 390B,Special Topics in Biostatistics,0.3189531362033822,A00009
MATH 390,Special Topics in Mathematics,0.142647089848959,A00009
PHYS 359,Introduction to Materials Science,0.20721991866026993,A00009
CSCI 390,Special Topics ,0.06685895563667388,A00009
CSCI 120L,Introduction to Computer Science II Laboratory,0.7889292715452403,A00010
CSCI 110L,Introduction to Computer Science I Laboratory,0.7494162692714676,A00010
CORE 120,Critical Thinking,0.2726894465905994,A00010
CORE 150,Composition I,0.2648506314435011,A00010
CORE 100,New Student Orientation,0.24639460521996026,A00010
CSCI 210,Sophomore Seminar,0.6191973560886151,A00011
CSCI 241L,Data Structures and Algorithms Laboratory,0.6179076475246539,A00011
HSS 290,Behavioral Statistics,0.18850067819090438,A00011
CORE 220,The Creative Arts,0.23422002665046196,A00011
KINS 275,Introduction to Exercise Science,0.20904648567293868,A00011
CORE 150,Composition I,0.8213372933706498,A00012
CORE 120,Critical Thinking,0.7830029031551691,A00012
CSCI 110L,Introduction to Computer Science I Laboratory,0.2795792642868504,A00012
CSCI 120L,Introduction to Computer Science II Laboratory,0.27657968637357616,A00012
CORE 132,Essential Mathematics for a Contemporary World II,0.3182901919619987,A00012
MATH 390,Special Topics in Mathematics,0.29593795167998,A00014
PHYS 359,Introduction to Materials Science,0.19048977107941636,A00014
PSCI 320,Selected Topics in Political Science ,0.14701482315738815,A00014
PSCI 340,Independent Study in Political Science,0.13950809680492024,A00014
PHYS 330,Introduction to Astrophysics,0.055828983128448924,A00014
SOC 100,Introduction to Sociology,0.043649410802380724,A00015
PHYS 490,Senior Seminar,0.04226985348690991,A00015
ENG 480,Senior Seminar,0.04068105671668222,A00015
HIS 499,Senior Seminar,0.03814149096424632,A00015
BIOL 498,Senior Seminar,0.03464259768137365,A00015
CSCI 210,Sophomore Seminar,0.7056306908070696,A00016
CSCI 241L,Data Structures and Algorithms Laboratory,0.6707838369759089,A00016
CSCI 230L,Introduction to Computer Architecture Laboratory,0.6002813146592987,A00016
CORE 201,Introduction to Business and Entrepreneurship,0.5579186841680195,A00016
CSCI 291,Theory of Computation,0.5181134258166569,A00016
CSCI 120L,Introduction to Computer Science II Laboratory,0.86460813721968,A00017
CSCI 110L,Introduction to Computer Science I Laboratory,0.8398051585990983,A00017
