Course code,Course Name,similarity,Student_ID
CORE 160,Composition II,0.7908197011938988,F00001
CSCI 120L,Introduction to Computer Science II Laboratory,0.6215028981087786,F00001
CSCI 110L,Introduction to Computer Science I Laboratory,0.6192372147849188,F00001
CORE 132,Essential Mathematics for a Contemporary World II,0.2806294395583187,F00001
CORE 131,Essential Mathematics for a Contemporary World,0.2793284182624983,F00001
MATH 130,Calculus II,0.699176461050929,F00002
CSCI 110L,Introduction to Computer Science I Laboratory,0.6752954323707253,F00002
CSCI 120L,Introduction to Computer Science II Laboratory,0.6714083651435926,F00002
CORE 120,Critical Thinking,0.5953541412214873,F00002
CORE 150,Composition I,0.5898394770185588,F00002
CSCI 411,Senior Seminar I,0.7148642548268207,F00003
CSCI 412,Senior Seminar II,0.7132319602738084,F00003
HIS 499,Senior Seminar,0.039776913488442485,F00003
PHYS 490,Senior Seminar,0.03628085802866013,F00003
BIOL 497,Senior Seminar ,0.036127995423110924,F00003
CSCI 411,Senior Seminar I,0.6774734401432164,F00004
CSCI 412,Senior Seminar II,0.6653431851525573,F00004
CHEM 470L,Analytical Chemistry Laboratory,0.04823818516929707,F00004
AERO-4516L,Leadership Laboratory IV,0.045145789805585666,F00004
BAD 490,Business Policy,0.043823428245058166,F00004
CSCI 411,Senior Seminar I,0.759094305830242,F00005
CSCI 412,Senior Seminar II,0.7565461554667213,F00005
SOC 100,Introduction to Sociology,0.05260229329835387,F00005
CHEM 470L,Analytical Chemistry Laboratory,0.04056802628384623,F00005
AERO-4516L,Leadership Laboratory IV,0.03796734021004806,F00005
CSCI 411,Senior Seminar I,0.648680636201109,F00006
CSCI 412,Senior Seminar II,0.6370659203194665,F00006
SOC 100,Introduction to Sociology,0.030815397804958518,F00006
HMLS 400,Critical Infrastructure Protection,0.026945956229783703,F00006
HIS 499,Senior Seminar,0.025463433735102948,F00006
CSCI 310,Junior Seminar,0.7472539981688489,F00007
CSCI 380L,Machine Learning Laboratory,0.49118623210322954,F00007
PSCI 320,Selected Topics in Political Science ,0.19811955695660777,F00007
PSCI 340,Independent Study in Political Science,0.18213408908151324,F00007
CSCI 390,Special Topics ,0.13081208478289025,F00007
PHYS 490,Senior Seminar,0.1082130553791191,F00008
HIS 499,Senior Seminar,0.07942665482437179,F00008
BIOL 497,Senior Seminar ,0.07214048477646914,F00008
BIOL 498,Senior Seminar,0.07214048477646913,F00008
ENG 480,Senior Seminar,0.0692842635262687,F00008
CSCI 411,Senior Seminar I,0.6548510113118687,F00009
CSCI 412,Senior Seminar II,0.6483568783367195,F00009
SOC 100,Introduction to Sociology,0.045109369286891216,F00009
CHEM 470L,Analytical Chemistry Laboratory,0.03283301388296706,F00009
PSCI 406,African Political Systems,0.03175660694981964,F00009
CORE 120,Critical Thinking,0.7165084013920943,F00010
CSCI 110L,Introduction to Computer Science I Laboratory,0.712895290429369,F00010
CORE 100,New Student Orientation,0.6992132339294203,F00010
CORE 132,Essential Mathematics for a Contemporary World II,0.27489644933174273,F00010
CORE 131,Essential Mathematics for a Contemporary World,0.2671624068134228,F00010
CSCI 411,Senior Seminar I,0.7325376082816664,F00011
CSCI 412,Senior Seminar II,0.7194214217979193,F00011
SOC 100,Introduction to Sociology,0.025967176779283015,F00011
CHEM 470L,Analytical Chemistry Laboratory,0.025348163416163454,F00011
AERO-4516L,Leadership Laboratory IV,0.023723173944614373,F00011
CSCI 120L,Introduction to Computer Science II Laboratory,0.8395779580936111,F00012
CORE 150,Composition I,0.4674917433891592,F00012
CORE 120,Critical Thinking,0.44567243595207684,F00012
CORE 100,New Student Orientation,0.43491474016189025,F00012
PSCI 111,Introduction to Political Science,0.2091703556009854,F00012
CSCI 412,Senior Seminar II,0.6229826866723713,F00013
CSCI 411,Senior Seminar I,0.6211484365588658,F00013
CHEM 470L,Analytical Chemistry Laboratory,0.06967219691800465,F00013
PSCI 406,African Political Systems,0.06613320924500485,F00013
AERO-4516L,Leadership Laboratory IV,0.0652057357944639,F00013
CSCI 411,Senior Seminar I,0.5896972303900287,F00014
CSCI 412,Senior Seminar II,0.5851548775685419,F00014
SOC 100,Introduction to Sociology,0.03901224111196907,F00014
EDUC 410,Elementary Student Seminar ,0.02087308253600435,F00014
EDUC 460,Secondary Student Seminar ,0.020170175736515885,F00014
CSCI 110L,Introduction to Computer Science I Laboratory,0.8302162857407851,F00015
CSCI 120L,Introduction to Computer Science II Laboratory,0.8254374787756535,F00015
CORE 150,Composition I,0.2780618587188069,F00015
CORE 120,Critical Thinking,0.26508383874795644,F00015
CORE 100,New Student Orientation,0.2586852126133753,F00015
