Course,Parsed_Coreqs
BIOL 101,[['BIOL 101L']]
BIOL 101L,[['BIOL 101']]
BIOL 102,[['BIOL 102L']]
BIOL 102L,[['BIOL 102']]
BIOL 212,[['BIOL 212L']]
BIOL 212L,[['BIOL 212']]
BIOL 220,[['BIOL 220L']]
BIOL 220L,[['BIOL 220']]
BIOL 221,[['BIOL 221L']]
BIOL 221L,[['BIOL 221']]
BIOL 222,[['BIOL 222L']]
BIOL 222L,[['BIOL 222']]
BIOL 242,[['BIOL 242L']]
BIOL 242L,[['BIOL 242']]
BIOL 255,[['BIOL 255L']]
BIOL 255L,[['BIOL 255']]
BIOL 256,[['BIOL 256L']]
BIOL 256L,[['BIOL 256']]
BIOL 270L,[['BIOL 270']]
BIOL 286L,[['BIOL 286L']]
BIOL 305L,[['BIOL 305']]
BIOL 313L,[['BIOL 313']]
BIOL 343L,[['BIOL 343']]
BIOL 344L,[['BIOL 344']]
BIOL 350,[['BIOL 350L']]
BIOL 350L,[['BIOL 350']]
BIOL 360,[['BIOL 360L']]
BIOL 360L,[['BIOL 360']]
BIOL 370,[['BIOL 370L']]
BIOL 370L,[['BIOL 370']]
BIOL 410,[['BIOL 410L']]
BIOL 410L,[['BIOL 410']]
BIOL 420,[['BIOL 420L']]
BIOL 420L,[['BIOL 420']]
BIOL 440,[['BIOL 440L']]
BIOL 440L,[['BIOL 440']]
BIOL 450,[['BIOL 450L']]
BIOL 450L,[['BIOL 450']]
CHEM 103,[['CHEM 113']]
CHEM 104,[['CHEM 114']]
CHEM 113,[['CHEM 103']]
CHEM 114,[['CHEM 104']]
CHEM 203,[['CHEM 233']]
CHEM 204,[['CHEM 234']]
CHEM 233,[['CHEM 203']]
CHEM 234,"[['CHEM 204', 'CHEM 206']]"
CHEM 341,[['CHEM 341L']]
CHEM 341L,[['CHEM 341']]
CHEM 342,[['CHEM 342L']]
CHEM 342L,[['CHEM 342']]
CHEM 470,[['CHEM 470L']]
CHEM 470L,[['CHEM 470']]
CSCI 110,[['CSCI 110L']]
CSCI 110L,[['CSCI 110']]
CSCI 120,[['CSCI 120L']]
CSCI 120L,[['CSCI 120']]
CSCI 230,[['CSCI 230L']]
CSCI 230L,[['CSCI 230']]
CSCI 241,[['CSCI 241L']]
CSCI 241L,[['CSCI 241']]
CSCI 261,[['CSCI 261L']]
CSCI 261L,[['CSCI 261']]
CSCI 280,[['CSCI 280L']]
CSCI 280L,[['CSCI 280']]
CSCI 282,[['CSCI 282L']]
CSCI 282L,[['CSCI 282']]
CSCI 285,[['CSCI 285L']]
CSCI 285L,[['CSCI 285']]
CSCI 312,[['CSCI 312L']]
CSCI 312L,[['CSCI 312']]
CSCI 380,[['CSCI 380L']]
CSCI 380L,[['CSCI 380']]
EDUC 410,[['EDUC 400']]
EDUC 450,[['EDUC 460']]
EDUC 460,[['EDUC 450']]
KINS 120,[['KINS 120L']]
KINS 120L,[['KINS 120']]
KINS 122,[['KINS 122L']]
KINS 122L,[['KINS 122']]
KINS 125,[['KINS 125L']]
KINS 125L,[['KINS 125']]
KINS 133,[['KINS 133L']]
KINS 133L,[['KINS 133']]
KINS 243,[['KINS 243L']]
KINS 243L,[['KINS 243']]
KINS 275,[['KINS 275L']]
KINS 275L,[['KINS 275']]
KINS 320,[['KINS 320L']]
KINS 320L,[['KINS 320']]
KINS 322,[['KINS 322L']]
KINS 322L,[['KINS 322']]
KINS 369,[['KINS 369L']]
KINS 369L,[['KINS 369']]
MUS 101,[['MUS 101L']]
MUS 101L,[['MUS 101']]
MUS 102,[['MUS 102L']]
MUS 102L,[['MUS 102']]
NSCI 285,[['NSCI 285L']]
NSCI 285L,[['NSCI 285']]
NSCI 323,[['NSCI 323L']]
NSCI 323L,[['NSCI 323']]
NSCI 361,[['NSCI 361L']]
NSCI 361L,[['NSCI 361']]
NSCI 362,[['NSCI 362']]
NSCI 362L,[['NSCI 362L']]
PHYS 117,[['PHYS 117L']]
PHYS 117L,[['PHYS 117']]
PHYS 118,[['PHYS 118L']]
PHYS 118L,[['PHYS 118']]
PHYS 130,[['PHYS 130L']]
PHYS 130L,[['PHYS 130']]
PHYS 140,[['PHYS 140L']]
PHYS 140L,[['PHYS 140']]
PHYS 232,[['PHYS 234']]
PHYS 234,[['PHYS 232']]
PHYS 323,[['PHYS 323L']]
PHYS 323L,[['PHYS 323']]
PHYS 330,[['MATH 130']]
