Subject/Category,Course Name,Course code,Credit Hours,Course_level,Prerequisite,Corequisite,Offered,Description,Major Applicable to,Requirement_type
ACC - Accounting,Principles of Accounting I,ACC 230,3,200,MATH 101,None,,,,
ACC - Accounting,Principles of Accounting II,ACC 240,3,200,ACC 230,None,,,,
ACC - Accounting,Cost Accounting and Control,ACC 300,3,300,ACC 310,None,,,,
ACC - Accounting,Intermediate Financial Accounting I,ACC 310,3,300,ACC 240,None,,,,
ACC - Accounting,Intermediate Financial Accounting II,ACC 320,3,300,ACC 310,None,,,,
ACC - Accounting,Federal  Taxation I ,ACC 330,3,300,ACC 230,None,,,,
ACC - Accounting,Accounting Information Systems,ACC 350,3,300,"ACC 240, BAD 110",None,,,,
ACC - Accounting,Advanced Accounting,ACC 410,3,400,ACC 320,None,,,,
ACC - Accounting,Accounting Seminar,ACC 420,3,400,Instructor Permission,None,,,,
ACC - Accounting,Federal Taxation II,ACC 430,3,400,ACC 240,None,,,,
ACC - Accounting,Auditing,ACC 440,3,400,ACC 320,None,,,,
AERO - Aerospace,Foundations of the U.S Air Force,AERO 1012,1,100,None,None,,,,
AERO - Aerospace,Leadership Laboratory,AERO 1013L,1,100,None,None,,,,
AERO - Aerospace,Air Power History,AERO 2012,1,200,None,None,,,,
AERO - Aerospace,Leadership Laboratory II,AERO-2013L,1,200,None,None,,,,
AERO - Aerospace,Air Force Leadership Studies ,AERO 3515,3,300,None,None,,,,
AERO - Aerospace,Leadership Laboratory III,AERO-3516L,1,300,None,None,,,,
AERO - Aerospace,National Security Affairs - Preparing for Active Duty,AERO 4515,3,400,None,None,,,,
AERO - Aerospace,Leadership Laboratory IV,AERO-4516L,1,400,None,None,,,,
ART - Art,Life Drawing and Composition,ART 101,3,100,None,None,Fall,,,
ART - Art,Life Drawing and Composition,ART 102,3,100,ART 101,None,,,,
ART - Art,Elementary Design,ART 111,3,100,None,None,,,,
ART - Art,Intermediate Design,ART 112,3,100,None,None,,,,
ART - Art,Color Fundamentals ,ART 115,3,100,None,None,,Distribution: Studio,,
ART - Art,Methods and Materials of Painting I,ART 201,3,200,None,None,,,,
ART - Art,Methods and Materials of Painting II,ART 202,3,200,None,None,,,,
ART - Art,Arts and Ideas I,ART 207,3,200,None,None,,,,
ART - Art,Arts and Ideas II,ART 208,3,200,None,None,,,,
ART - Art,Ceramics I ,ART 213,3,200,None,None,,,,
ART - Art,Ceramics II,ART 214,3,200,None,None,,,,
ART - Art,Photography I ,ART 215,3,200,None,None,,,,
ART - Art,Photography II,ART 216,3,200,None,None,,,,
ART - Art,Printmaking I,ART 227,3,200,None,None,,,,
ART - Art,Printmaking II,ART 228,3,200,None,None,,,,
ART - Art,Women and the Arts ,ART 250,3,200,None,None,,,,
ART - Art,African American Art,ART 291,3,200,None,None,,,,
ART - Art,African Art,ART 292,3,200,None,None,,,,
ART - Art,Sculpture I ,ART 301,3,300,None,None,,,,
ART - Art,Sculpture II,ART 302,3,300,None,None,,,,
ART - Art,Independent Study,ART 400,3,400,None,None,,,,
ART - Art,Senior Portfolio,ART 401,3,400,None,None,,,,
ART - Art,Senior Portfolio,ART 402,3,400,None,None,,,,
BAD - Business Administration,Business Information Systems,BAD 110,3,100,None,None,,,,
BAD - Business Administration,Applied Calculus,BAD 200,3,200,MATH 110,None,,,,
BAD - Business Administration,Business Law,BAD 220,3,200,None,None,,,,
BAD - Business Administration,Business Ethics,BAD 230,3,200,None,None,,,,
BAD - Business Administration,Business Communications,BAD 250,3,200,"CORE 150, ENG 275 or HIS 270 or HIS 180",None,,,,
BAD - Business Administration,Applied Statistics,BAD 260,3,200,MATH 101,None,,,,
BAD - Business Administration,Marketing,BAD 320,3,300,ECON 230,None,,,,
BAD - Business Administration,Internship Seminar,BAD 399,3,300,None,None,,,,
BAD - Business Administration,Business Policy,BAD 490,3,400,None,None,,,,
BIOL - Biology,General Biology I,BIOL 101,3,100,None,BIOL 101L,,,,
BIOL - Biology,General Biology I Lab,BIOL 101L,1,100,None,BIOL 101,,,,
BIOL - Biology,General Biology II,BIOL 102,3,100,"BIOL 101, BIOL 101L",BIOL 102L,,,,
BIOL - Biology,General Biology II Lab,BIOL 102L,1,100,"BIOL 101, BIOL 101L",BIOL 102,,,,
BIOL - Biology,Zoological Histology,BIOL 212,3,200,"BIOL 101, BIOL 101L",BIOL 212L,,,,
BIOL - Biology,Zoological Histology Lab,BIOL 212L,1,200,"BIOL 101, BIOL 101L",BIOL 212,,,,
BIOL - Biology,Zoological Histology,BIOL 220,3,200,"BIOL 101, BIOL 101L",BIOL 220L,,,,
BIOL - Biology,Zoological Histology Lab,BIOL 220L,1,200,"BIOL 101, BIOL 101L",BIOL 220,,,,
BIOL - Biology,Human Anatomy and Physiology I,BIOL 221,3,200,"BIOL 101, BIOL 101L",BIOL 221L,,,,
BIOL - Biology,Human Anatomy and Physiology I Lab,BIOL 221L,1,200,"BIOL 101, BIOL 101L",BIOL 221,,,,
BIOL - Biology,Human Anatomy and Physiology II,BIOL 222,3,200,"BIOL 221, BIOL 221L",BIOL 222L,,,,
BIOL - Biology,Human Anatomy and Physiology II Lab ,BIOL 222L,1,200,"BIOL 221, BIOL 221L",BIOL 222,,,,
BIOL - Biology,Environmental Biology ,BIOL 242,3,200,"BIOL 101, BIOL 101L",BIOL 242L,,,,
BIOL - Biology,Environmental Biology Lab,BIOL 242L,1,200,"BIOL 101, BIOL 101L",BIOL 242,,,,
BIOL - Biology,Vertebrate Biology: Anatomy,BIOL 255,3,200,"BIOL 101, BIOL 101L",BIOL 255L,,,,
BIOL - Biology,Vertebrate Biology: Anatomy Lab,BIOL 255L,1,200,"BIOL 101, BIOL 101L",BIOL 255,,,,
BIOL - Biology,Vertebrate Biology: Development,BIOL 256,3,200,"BIOL 101, BIOL 101L",BIOL 256L,,,,
BIOL - Biology,Vertebrate Biology: Development Lab,BIOL 256L,1,200,"BIOL 101, BIOL 101L",BIOL 256,,,,
BIOL - Biology,Microbiology,BIOL 270,3,200,"BIOL 101, BIOL 101L, CHEM 203, CHEM 233",,,,,
BIOL - Biology,Microbiology Lab,BIOL 270L,1,200,"BIOL 101, BIOL 101L, CHEM 203, CHEM 234",BIOL 270,,,,
BIOL - Biology,Mathematical Modeling of Biological Systems,BIOL 280,3,200,None,None,,,,
BIOL - Biology,Bioinformatics I,BIOL 285,3,200,None,None,,,,
BIOL - Biology,Bioinformatics I Lab,BIOL 285L,1,200,None,None,,,,
BIOL - Biology,Practical Tools for Bioinformatics,BIOL 286,3,200,"MATH 110, BIOL 101, BIOL 102",,,,,
BIOL - Biology,Practical Tools for Bioinformatics Lab,BIOL 286L,1,200,"MATH 110, BIOL 101, BIOL 103",BIOL 286L,,,,
