Subject/Category,Course Name,Course code,Credit Hours,Course_level,Prerequisite,Corequisite,Major Applicable to,Requirement_type,Major_Applicable,Requirement_Type
ACC - Accounting,Principles of Accounting I,ACC 230,3,200,MATH 101,,,,['OTHER'],['General Elective']
ACC - Accounting,Principles of Accounting II,ACC 240,3,200,ACC 230,,,,['OTHER'],['General Elective']
ACC - Accounting,Cost Accounting and Control,ACC 300,3,300,ACC 310,,,,['OTHER'],['General Elective']
ACC - Accounting,Intermediate Financial Accounting I,ACC 310,3,300,ACC 240,,,,['OTHER'],['General Elective']
ACC - Accounting,Intermediate Financial Accounting II,ACC 320,3,300,ACC 310,,,,['OTHER'],['General Elective']
ACC - Accounting,Federal  Taxation I ,ACC 330,3,300,ACC 230,,,,['OTHER'],['General Elective']
ACC - Accounting,Accounting Information Systems,ACC 350,3,300,"ACC 240, BAD 110",,,,['OTHER'],['General Elective']
ACC - Accounting,Advanced Accounting,ACC 410,3,400,ACC 320,,,,['OTHER'],['General Elective']
ACC - Accounting,Accounting Seminar,ACC 420,3,400,Instructor Permission,,,,['OTHER'],['General Elective']
ACC - Accounting,Federal Taxation II,ACC 430,3,400,ACC 240,,,,['OTHER'],['General Elective']
ACC - Accounting,Auditing,ACC 440,3,400,ACC 320,,,,['OTHER'],['General Elective']
AERO - Aerospace,Foundations of the U.S Air Force,AERO 1012,1,100,,,,,['OTHER'],['General Elective']
AERO - Aerospace,Leadership Laboratory,AERO 1013L,1,100,,,,,['OTHER'],['General Elective']
AERO - Aerospace,Air Power History,AERO 2012,1,200,,,,,['OTHER'],['General Elective']
AERO - Aerospace,Leadership Laboratory II,AERO-2013L,1,200,,,,,['OTHER'],['General Elective']
AERO - Aerospace,Air Force Leadership Studies ,AERO 3515,3,300,,,,,['OTHER'],['General Elective']
AERO - Aerospace,Leadership Laboratory III,AERO-3516L,1,300,,,,,['OTHER'],['General Elective']
AERO - Aerospace,National Security Affairs - Preparing for Active Duty,AERO 4515,3,400,,,,,['OTHER'],['General Elective']
AERO - Aerospace,Leadership Laboratory IV,AERO-4516L,1,400,,,,,['OTHER'],['General Elective']
ART - Art,Life Drawing and Composition,ART 101,3,100,,,,,['OTHER'],['General Elective']
ART - Art,Life Drawing and Composition,ART 102,3,100,ART 101,,,,['OTHER'],['General Elective']
ART - Art,Elementary Design,ART 111,3,100,,,,,['OTHER'],['General Elective']
ART - Art,Intermediate Design,ART 112,3,100,,,,,['OTHER'],['General Elective']
ART - Art,Color Fundamentals ,ART 115,3,100,,,,,['OTHER'],['General Elective']
ART - Art,Methods and Materials of Painting I,ART 201,3,200,,,,,['OTHER'],['General Elective']
ART - Art,Methods and Materials of Painting II,ART 202,3,200,,,,,['OTHER'],['General Elective']
ART - Art,Arts and Ideas I,ART 207,3,200,,,,,['OTHER'],['General Elective']
ART - Art,Arts and Ideas II,ART 208,3,200,,,,,['OTHER'],['General Elective']
ART - Art,Ceramics I ,ART 213,3,200,,,,,['OTHER'],['General Elective']
ART - Art,Ceramics II,ART 214,3,200,,,,,['OTHER'],['General Elective']
ART - Art,Photography I ,ART 215,3,200,,,,,['OTHER'],['General Elective']
ART - Art,Photography II,ART 216,3,200,,,,,['OTHER'],['General Elective']
ART - Art,Printmaking I,ART 227,3,200,,,,,['OTHER'],['General Elective']
ART - Art,Printmaking II,ART 228,3,200,,,,,['OTHER'],['General Elective']
