Student_ID,Major,Year,is Honors or Regular,Courses_Taken
A00002,Data Science,Senior,True,"CSCI 120, AERO-2013L, CSCI 110, CSCI 312, NSCI 360, HSS 290, CORE 360, NAN, MATH 101, KINS 122L, CORE 160, BAD 260, CORE 260, HON 222, CSCI 241, KINS 122, MATH 121, ADMISSION TO THE W.E.B DU BOIS GENERAL UNIVERSITY HONORS PROGRAM, MATH 130, PASS SCORE ON PLACEMENT TEST, CSCI 241L, CSCI 312L, MUS 450, CSCI 110L, MATH 240, 3.0, MATH 110, CORE 150, CORE 120"
A00003,Computer Science,Senior,False,"BIOL 242, CSCI 120, CHEM 203, CSCI 110, MATH 120, CHEM 114, COMPLETION OF HIGH SCHOOL ALGEBRA, NAN, CSCI 282L, BIOL 101L, CSCI 261L, CSCI 282, HIGH SCHOOL TRIGONOMETRY, CORE 160, CORE 260, BIOL 101, CSCI 241, BIOL 242L, CSCI 230, AERO 3515, CSCI 261, CHEM 104, CSCI 110L, MUS 450, CSCI 120L, MATH 110, CORE 150, CSCI 411, CSCI 412, CSCI 230L, CHEM 233"
A00004,Mathematics,Senior,True,"CSCI 120, ENG 240, MUS 352, MATH 120, NSCI 360, NAN, MATH 270, PSCI 442, N, CORE 160, CSCI 100, CORE 260, SENIOR, CSCI 398, MATH 320, PASS SCORE ON PLACEMENT TEST, MATH 130, PHYS 130L, PHYS 130, SPED 210, MATH 240, CSCI 120L, SPAN 312, MATH 110, CORE 150"
A00005,Data Science,Senior,False,"MUS 376, CSCI 120, HIS 150, FIN 360, MATH 390B, MUS 475, HSS 290, NAN, MUS 323, MUS 270B, MUS 170B, BIOL 440, ACC 320, CORE 160, EDUC 250, BIOL 360, BIOL 101, CSCI 241, MATH 130, BIOL 440L, BIOL 350L, CORE 131, BIOL 360L, CSCI 380L, BIOL 350, MATH 240, CSCI 120L, ACC 310, CORE 150, CSCI 380, CSCI 411, MUS 157"
A00006,Mathematics,Freshman,True,"NAN, PHYS 130, MATH 110, CORE 150, PHYS 234, PHYS 232, PHYS 130L, PHYS 140"
A00007,Data Science,Senior,False,"CSCI 120, ENG 240, BIOL 410L, CSCI 110, MATH 390B, MATH 120, NSCI 360, NAN, BIOL 391, NSCI 361, CSCI 210, MKT 310, EDUC 410, NSCI 361L, PSCI 252, CSCI 241, BIOL 410, MATH 130, CORE 100, CSCI 241L, CSCI 380L, BIOL 313, CSCI 110L, MATH 240, EDUC 400, CSCI 120L, MATH 110, CORE 220, CSCI 380, NSCI 393"
A00008,Data Science,Sophomore,False,"CORE 260, NAN, HCA 201, CSCI 241, CORE 201, KINS 486, CSCI 210, HCA 310, CORE 100, CSCI 241L, ECON 230, CORE 160, ECON 240, CORE 360"
A00009,Data Science,Sophomore,True,"CSCI 380L, NAN, MATH 125, CSCI 241, MATH 240, MATH 110, CSCI 380, MATH 130, CSCI 411, CORE 100"
A00010,Mathematics,Senior,True,"HSS 280, MATH 353, PSY 224, MATH 120, SPAN 200, CSCI 110, NSCI 360, MUS 207, COMPLETION OF HIGH SCHOOL ALGEBRA, NAN, CORE 201, MATH 270, BIOL 440, HIGH SCHOOL TRIGONOMETRY, CORE 160, HCA 201, BIOL 101, BIOL 410, PSY 180, MATH 130, BIOL 440L, HCA 320, PHYS 140, PHYS 341, PHYS 130, CSCI 110L, MATH 240, SPAN 312, MATH 210, CORE 150"
A00011,Computer Science,Junior,False,"CORE 260, NAN, MATH 125, CSCI 241, BIOL 220L, BIOL 101, COMPLETION OF COURSE REQUIREMENTS, BIOL 101L, MATH 120, MATH 130, SW 204, CSCI 310, CSCI 412, BIOL 220, CSCI 291, ADMISSION TO THE TEACHER EDUCATION PROGRAM, ART 112, CORE 160"
