Student_ID,Major,Year,Courses_Taken,is Honors or Regular
F00195,Data Science,Junior,"CORE 120, CSCI 412, CORE 160, CORE 360, CSCI 110",Regular
F00102,Computer Science,Freshman,"MATH 125, MATH 240, CSCI 110",Honors
F00069,Computer Science,Senior,"CSCI 210, CSCI 310, CSCI 230, CORE 201, CORE 120, NSCI 360",Regular
F00225,Data Science,Senior,"CORE 150, MATH 240, CSCI 380L, CSCI 312, MATH 125, CSCI 241L",Regular
F00038,Data Science,Sophomore,"CORE 360, MATH 125, CSCI 412",Honors
F00017,Computer Science,Sophomore,"CSCI 412, CSCI 120, CORE 260, CSCI 312",Regular
F00180,Math,Freshman,"MATH 320, MATH 220, MATH 130",Honors
F00148,Data Science,Senior,"MATH 390B, CSCI 120, HSS 290",Honors
F00275,Data Science,Freshman,"HSS 290, BAD 260, CSCI 412, MATH 130, MATH 240, CORE 201, CORE 150",Honors
F00068,Data Science,Freshman,"MATH 130, CSCI 412, CSCI 110, CORE 260, CSCI 411, CSCI 110L",Honors
F00229,Math,Junior,"CORE 100, CORE 260, NSCI 360",Honors
F00070,Math,Senior,"CSCI 120, CSCI 110L, CORE 360, MATH 120, MATH 270",Regular
F00032,Computer Science,Junior,"MATH 125, CORE 260, CSCI 230, CORE 201, CSCI 110L, CORE 150, CORE 360, CSCI 411",Regular
F00184,Computer Science,Freshman,"CSCI 282, CSCI 411, CSCI 210, CSCI 241",Regular
F00266,Data Science,Sophomore,"CSCI 412, CORE 150, CSCI 241, CSCI 110, CSCI 120L, CORE 160, CORE 120, CORE 360",Regular
F00226,Math,Freshman,"MATH 240, CSCI 120, CSCI 110, CORE 360, CSCI 110L, CORE 150",Regular
F00141,Computer Science,Sophomore,"CSCI 210, CSCI 110L, CSCI 230, MATH 130, MATH 120",Regular
F00019,Data Science,Senior,"CORE 150, BAD 260, CSCI 110L, CSCI 110, CSCI 241, MATH 120, CORE 260, CORE 201",Honors
F00182,Data Science,Freshman,"CSCI 310, CSCI 110, CSCI 241",Regular
F00097,Math,Sophomore,"NSCI 360, MATH 395, MATH 120, MATH 240, CORE 201, MATH 320",Honors
F00133,Math,Junior,"CSCI 120L, CSCI 110L, MATH 353, MATH 270, CORE 260",Regular
F00263,Data Science,Junior,"CSCI 110, BAD 260, CORE 360, MATH 240, CSCI 380L, CSCI 210",Honors
F00087,Math,Sophomore,"MATH 270, CSCI 120L, CORE 150, MATH 210, CORE 120, MATH 320, CSCI 110, MATH 353",Regular
F00249,Data Science,Freshman,"MATH 120, CSCI 412, CSCI 120L",Regular
F00246,Data Science,Freshman,"CSCI 312L, CSCI 411, CSCI 210, MATH 390B",Honors
F00117,Data Science,Sophomore,"CSCI 110, CORE 160, CSCI 411",Regular
F00147,Math,Senior,"MATH 353, CORE 160, MATH 240, CSCI 120, MATH 395",Honors
F00293,Computer Science,Senior,"CSCI 282L, CSCI 312, CSCI 411",Honors
F00198,Data Science,Sophomore,"NSCI 360, MATH 130, CSCI 380L, MATH 120",Honors
F00207,Computer Science,Sophomore,"CSCI 312, CSCI 261, CSCI 312L, CORE 100, CORE 260, CSCI 110L, CSCI 412, CSCI 241",Regular
F00056,Data Science,Senior,"MATH 120, CORE 360, MATH 130, HSS 290, CSCI 110L, BAD 260, CORE 100, CSCI 110",Honors
F00173,Math,Junior,"CSCI 110, MATH 395, CSCI 120L, CORE 201, MATH 210, MATH 130, CORE 260",Honors
F00185,Data Science,Junior,"MATH 240, BAD 260, CSCI 310, CORE 120, MATH 125",Regular
F00168,Math,Freshman,"CSCI 110, CSCI 120, CORE 160, MATH 220, CORE 260, PHYS 130, PHYS 130L, MATH 353",Regular
F00140,Computer Science,Freshman,"CSCI 230L, CSCI 110, CSCI 312L, CSCI 230, CSCI 241L",Honors
F00254,Data Science,Junior,"CORE 160, CSCI 312L, CSCI 120L, CSCI 380L, HSS 290, CSCI 310, CSCI 380",Honors
F00039,Math,Sophomore,"CORE 150, PHYS 130L, CSCI 120, MATH 240, CORE 120, PHYS 130",Honors
F00126,Math,Freshman,"CSCI 110L, CORE 120, MATH 320",Honors
F00196,Computer Science,Sophomore,"CSCI 210, CSCI 120L, CSCI 230, MATH 125, CORE 260, CSCI 411, CSCI 261L, CSCI 312",Regular
F00284,Computer Science,Junior,"CORE 100, CORE 120, MATH 120, CSCI 261L, CSCI 230, MATH 125, CSCI 120L",Honors
F00138,Computer Science,Freshman,"MATH 130, CORE 120, CSCI 261L, CORE 100, MATH 125, CSCI 282L, CSCI 120L, CORE 150",Regular
F00113,Data Science,Senior,"CORE 260, CSCI 241, MATH 390B",Honors
F00169,Computer Science,Junior,"CORE 120, CORE 100, CORE 160, CSCI 110L",Regular
F00118,Math,Sophomore,"CSCI 120, CORE 100, CSCI 110L",Regular
F00278,Data Science,Junior,"CSCI 110L, MATH 390B, CSCI 412, NSCI 360, CORE 360",Regular
F00272,Computer Science,Freshman,"CSCI 230L, CORE 260, CORE 201, CSCI 291, CSCI 241L, CORE 360, MATH 125",Regular
F00156,Computer Science,Junior,"CORE 150, CSCI 230, CORE 201",Regular
F00177,Computer Science,Sophomore,"CSCI 230, MATH 130, CSCI 411, CORE 360",Honors
F00179,Math,Freshman,"CORE 260, MATH 353, CORE 201, CORE 120, CORE 160, CORE 150, NSCI 360, MATH 395",Honors
F00003,Computer Science,Senior,"CORE 150, MATH 130, CSCI 230L, CSCI 210",Regular
F00116,Math,Senior,"CORE 260, NSCI 360, MATH 353, MATH 240",Honors
F00144,Data Science,Junior,"BAD 260, CSCI 110, CSCI 241, MATH 390B, NSCI 360, CSCI 312L",Regular
F00178,Data Science,Sophomore,"HSS 290, CSCI 310, CORE 120, CSCI 110L",Regular
F00121,Math,Junior,"MATH 220, CORE 360, PHYS 130",Honors
F00211,Computer Science,Senior,"CSCI 282L, CSCI 411, CSCI 282, CSCI 210, MATH 120, CSCI 120",Regular
F00261,Math,Junior,"CORE 360, PHYS 130, MATH 320",Regular
F00128,Data Science,Freshman,"CSCI 110L, MATH 240, CORE 260, BAD 260, CORE 150, CSCI 312, MATH 120, CSCI 110",Honors
F00075,Data Science,Senior,"NSCI 360, MATH 390B, CORE 150, CSCI 110L, CORE 260, CSCI 380, CSCI 312, CSCI 241L",Regular
F00030,Data Science,Senior,"CSCI 411, CSCI 210, CSCI 380, MATH 390B, CSCI 241, NSCI 360",Regular
F00084,Computer Science,Senior,"CSCI 261L, CSCI 291, NSCI 360",Honors
F00270,Math,Senior,"MATH 395, CORE 160, CORE 150, MATH 353, CORE 360, CORE 260, MATH 210, CSCI 120",Regular
F00108,Data Science,Junior,"CSCI 241, CSCI 120L, CORE 160, CORE 100, HSS 290, CORE 201, CORE 120",Regular
F00224,Data Science,Sophomore,"CSCI 210, CSCI 411, MATH 120, CSCI 110L, CSCI 110, CSCI 241",Honors
F00159,Math,Senior,"PHYS 130, CORE 100, MATH 320, CORE 120, CORE 150, CSCI 120L",Honors
F00281,Computer Science,Freshman,"MATH 240, CSCI 282, CSCI 312, MATH 130, CORE 100, CSCI 411",Regular
F00247,Data Science,Freshman,"CORE 260, CSCI 312L, CSCI 380L, CSCI 312, HSS 290, CSCI 241",Regular
F00223,Data Science,Senior,"MATH 390B, CSCI 380L, NSCI 360, CSCI 110L",Honors
F00066,Data Science,Freshman,"CSCI 110L, MATH 125, CSCI 380L, CORE 201",Regular
F00199,Data Science,Senior,"CSCI 110L, CSCI 411, BAD 260, CSCI 380, CSCI 210, CSCI 120L, CSCI 312",Regular
F00086,Math,Senior,"CSCI 110L, PHYS 130L, CORE 150, CORE 201",Regular
F00214,Math,Junior,"MATH 395, MATH 270, MATH 120, MATH 220, MATH 210, CORE 100",Regular
F00160,Math,Freshman,"CSCI 120L, PHYS 130L, MATH 270, CSCI 110L, CSCI 110, CORE 150",Regular
F00013,Computer Science,Senior,"CSCI 261L, CORE 201, CSCI 120L",Honors
F00036,Data Science,Sophomore,"CSCI 210, CSCI 110, CSCI 411, CSCI 120",Regular
F00029,Math,Senior,"MATH 130, CORE 150, CORE 160, MATH 210, CORE 201",Regular
F00143,Data Science,Freshman,"CSCI 241, CSCI 310, CORE 360, NSCI 360, CORE 201, CORE 100",Regular
F00285,Math,Junior,"CSCI 120L, MATH 120, CORE 120, PHYS 130, CORE 360",Regular
F00255,Computer Science,Sophomore,"CORE 201, CORE 360, CSCI 312, CORE 150",Regular
F00171,Math,Junior,"MATH 220, MATH 270, CORE 260, NSCI 360, MATH 120",Honors
F00052,Computer Science,Junior,"CSCI 312, CSCI 241, CSCI 110, CSCI 120, CSCI 411, CSCI 291, CORE 160, CSCI 261",Regular
F00096,Math,Freshman,"MATH 320, MATH 395, CORE 201, CSCI 120L, PHYS 130, MATH 240, MATH 353",Honors
F00209,Data Science,Senior,"CSCI 411, CORE 120, BAD 260, CSCI 380, HSS 290",Regular
F00248,Math,Sophomore,"MATH 240, MATH 210, CORE 100, CORE 201, CSCI 120, MATH 353, PHYS 130, CSCI 110L",Honors
F00042,Computer Science,Freshman,"CSCI 282L, CORE 201, CSCI 120",Honors
F00090,Data Science,Senior,"NSCI 360, CSCI 241L, CSCI 312",Regular
F00245,Computer Science,Senior,"CSCI 241, CSCI 282, MATH 120",Honors
F00137,Data Science,Freshman,"CORE 260, HSS 290, CSCI 380, CSCI 312L, MATH 125, CORE 160, CSCI 412, CSCI 120L",Honors
F00027,Math,Sophomore,"PHYS 130L, MATH 395, MATH 240, CORE 100, MATH 210, MATH 130",Honors
F00294,Data Science,Freshman,"CSCI 412, MATH 240, CSCI 380, MATH 390B",Honors
F00142,Data Science,Junior,"CORE 100, CSCI 241L, CSCI 380L",Honors
F00201,Computer Science,Sophomore,"CORE 160, CSCI 412, CSCI 312, CSCI 291",Regular
F00001,Data Science,Freshman,"CORE 100, CORE 120, BAD 260, CSCI 120, MATH 240, CORE 150",Regular
F00269,Computer Science,Junior,"CSCI 412, CSCI 312L, CSCI 282, MATH 120, CORE 260, CSCI 110L, CORE 150, CSCI 230",Regular
F00273,Computer Science,Senior,"CSCI 230, CSCI 312, CSCI 210, CORE 360, CSCI 241, CORE 120, CORE 150",Honors
F00101,Math,Junior,"CORE 201, CSCI 120L, MATH 320, CSCI 110L, PHYS 130L, MATH 220, MATH 130",Honors
F00260,Math,Sophomore,"PHYS 130L, CORE 260, MATH 220, CSCI 110, CORE 160, MATH 395",Regular
F00256,Computer Science,Sophomore,"CSCI 282, CSCI 261L, CSCI 120L, CSCI 241, CSCI 230L, CSCI 312L, CORE 150, MATH 125",Regular
F00172,Computer Science,Junior,"CSCI 261, CSCI 282L, CORE 150, CSCI 210, CSCI 291, CORE 260",Honors
F00099,Data Science,Freshman,"CSCI 380, MATH 130, CSCI 380L",Honors
F00037,Data Science,Freshman,"MATH 125, CSCI 312L, CSCI 411, CSCI 312, MATH 390B",Regular
F00062,Data Science,Junior,"MATH 130, BAD 260, CORE 260, CSCI 241, CSCI 380, MATH 120, CSCI 310",Honors
F00151,Math,Senior,"MATH 210, MATH 320, CORE 150, CORE 100, MATH 270, CSCI 110",Honors
F00237,Computer Science,Junior,"CSCI 110, CSCI 282L, CORE 100, CSCI 230, CSCI 310, CSCI 241L, CSCI 291",Regular
F00203,Computer Science,Senior,"CSCI 310, CSCI 412, CSCI 241L, CSCI 120L, CORE 160, CSCI 230, MATH 120",Honors
F00243,Math,Junior,"MATH 220, MATH 395, CORE 150, CSCI 110L, CSCI 110, MATH 320, CORE 260",Regular
F00012,Computer Science,Freshman,"CORE 260, CSCI 110L, CSCI 312L, MATH 130, MATH 125, CSCI 282L",Honors
F00297,Math,Junior,"MATH 270, MATH 220, MATH 320, CORE 201, CORE 260, CSCI 110",Honors
F00268,Data Science,Junior,"CSCI 241L, CORE 100, CSCI 110L, MATH 240, CSCI 210, CSCI 312L",Honors
F00028,Computer Science,Senior,"CSCI 310, CSCI 110, CSCI 110L, CSCI 261, CSCI 120L, CORE 201, CSCI 261L",Regular
F00220,Data Science,Sophomore,"MATH 120, NSCI 360, CORE 160, CORE 360",Regular
F00005,Computer Science,Senior,"CORE 201, CSCI 312, CSCI 110L, CSCI 282L, CSCI 120, CSCI 120L, CSCI 261",Honors
