Course,Parsed_Prereqs
ACC 230,[['MATH 101']]
ACC 240,[['ACC 230']]
ACC 300,[['ACC 310']]
ACC 310,[['ACC 240']]
ACC 320,[['ACC 310']]
ACC 330,[['ACC 230']]
ACC 350,"[['ACC 240'], ['BAD 110']]"
ACC 410,[['ACC 320']]
ACC 420,[['INSTRUCTOR PERMISSION']]
ACC 430,[['ACC 240']]
ACC 440,[['ACC 320']]
AERO 1012,[['NAN']]
AERO 1013L,[['NAN']]
AERO 2012,[['NAN']]
AERO-2013L,[['NAN']]
AERO 3515,[['NAN']]
AERO-3516L,[['NAN']]
AERO 4515,[['NAN']]
AERO-4516L,[['NAN']]
ART 101,[['NAN']]
ART 102,[['ART 101']]
ART 111,[['NAN']]
ART 112,[['NAN']]
ART 115,[['NAN']]
ART 201,[['NAN']]
ART 202,[['NAN']]
ART 207,[['NAN']]
ART 208,[['NAN']]
ART 213,[['NAN']]
ART 214,[['NAN']]
ART 215,[['NAN']]
ART 216,[['NAN']]
ART 227,[['NAN']]
ART 228,[['NAN']]
ART 250,[['NAN']]
ART 291,[['NAN']]
ART 292,[['NAN']]
ART 301,[['NAN']]
ART 302,[['NAN']]
ART 400,[['NAN']]
ART 401,[['NAN']]
ART 402,[['NAN']]
BAD 110,[['NAN']]
BAD 200,[['MATH 110']]
BAD 220,[['NAN']]
BAD 230,[['NAN']]
BAD 250,"[['CORE 150'], ['ENG 275', 'HIS 270', 'HIS 180']]"
BAD 260,[['MATH 101']]
BAD 320,[['ECON 230']]
BAD 399,[['NAN']]
BAD 490,[['NAN']]
BIOL 101,[['NAN']]
BIOL 101L,[['NAN']]
BIOL 102,"[['BIOL 101'], ['BIOL 101L']]"
BIOL 102L,"[['BIOL 101'], ['BIOL 101L']]"
BIOL 212,"[['BIOL 101'], ['BIOL 101L']]"
BIOL 212L,"[['BIOL 101'], ['BIOL 101L']]"
BIOL 220,"[['BIOL 101'], ['BIOL 101L']]"
BIOL 220L,"[['BIOL 101'], ['BIOL 101L']]"
BIOL 221,"[['BIOL 101'], ['BIOL 101L']]"
BIOL 221L,"[['BIOL 101'], ['BIOL 101L']]"
BIOL 222,"[['BIOL 221'], ['BIOL 221L']]"
BIOL 222L,"[['BIOL 221'], ['BIOL 221L']]"
BIOL 242,"[['BIOL 101'], ['BIOL 101L']]"
BIOL 242L,"[['BIOL 101'], ['BIOL 101L']]"
BIOL 255,"[['BIOL 101'], ['BIOL 101L']]"
BIOL 255L,"[['BIOL 101'], ['BIOL 101L']]"
BIOL 256,"[['BIOL 101'], ['BIOL 101L']]"
BIOL 256L,"[['BIOL 101'], ['BIOL 101L']]"
BIOL 270,"[['BIOL 101'], ['BIOL 101L'], ['CHEM 203'], ['CHEM 233']]"
BIOL 270L,"[['BIOL 101'], ['BIOL 101L'], ['CHEM 203'], ['CHEM 234']]"
BIOL 280,[['NAN']]
BIOL 285,[['NAN']]
BIOL 285L,[['NAN']]
BIOL 286,"[['MATH 110'], ['BIOL 101'], ['BIOL 102']]"
BIOL 286L,"[['MATH 110'], ['BIOL 101'], ['BIOL 103']]"
BIOL 290,[['NAN']]
BIOL 291,[['NAN']]
BIOL 292,[['NAN']]
BIOL 293,[['NAN']]
BIOL 305,"[['BIOL 101'], ['BIOL 101L'], ['CHEM 203'], ['CHEM 233']]"
BIOL 305L,"[['BIOL 101'], ['BIOL 101L'], ['CHEM 203'], ['CHEM 234']]"
BIOL 313,"[['BIOL 102'], ['BIOL 102L'], ['CHEM 234'], ['CHEM 204']]"
BIOL 313L,"[['BIOL 102'], ['BIOL 102L'], ['CHEM 234'], ['CHEM 205']]"
BIOL 343,"[['BIOL 305'], ['BIOL 313'], ['CHEM 234']]"
BIOL 343L,"[['BIOL 305'], ['BIOL 313'], ['CHEM 235']]"
BIOL 344,"[['BIOL 343'], ['BIOL 305'], ['BIOL 313'], ['BIOL 343']]"
BIOL 344L,"[['BIOL 343'], ['BIOL 305'], ['BIOL 313'], ['BIOL 344']]"
BIOL 350,"[['BIOL 101'], ['BIOL 101L'], ['CHEM 233'], ['CHEM 203']]"
BIOL 350L,[['NAN']]
BIOL 360,"[['BIOL 350'], ['BIOL 350L']]"
BIOL 360L,"[['BIOL 350'], ['BIOL 350L']]"
BIOL 370,[['NAN']]
BIOL 370L,[['NAN']]
BIOL 390,[['NAN']]
BIOL 390H,[['HONORS WITH 3.0 GPA']]
BIOL 391,[['NAN']]
BIOL 392,[['NAN']]
BIOL 393,[['NAN']]
BIOL 394,[['NAN']]
BIOL 410,"[['BIOL 313'], ['BIOL 313L', 'NSCI 361'], ['NSCI 361L']]"
BIOL 410L,"[['BIOL 313'], ['BIOL 313L', 'NSCI 361'], ['NSCI 361L']]"
BIOL 420,"[['BIOL 221'], ['BIOL 222 AND', 'INSTRUCTOR PERMISSION']]"
BIOL 420L,"[['BIOL 221'], ['BIOL 222 AND', 'INSTRUCTOR PERMISSION']]"
BIOL 440,"[['BIOL 101'], ['BIOL 360', 'BIOL 410']]"
BIOL 440L,"[['BIOL 101'], ['BIOL 360', 'BIOL 410']]"
BIOL 450,"[['BIOL 420'], ['BIOL 420L']]"
BIOL 450L,"[['BIOL 420'], ['BIOL 420L']]"
BIOL 497,[['NAN']]
BIOL 498,[['NAN']]
CHEM 103,[['NAN']]
CHEM 104,"[['CHEM 103'], ['CHEM 113']]"
CHEM 113,[['NAN']]
CHEM 114,"[['CHEM 103'], ['CHEM 113']]"
CHEM 203,[['NAN']]
CHEM 204,"[['CHEM 203'], ['CHEM 233']]"
CHEM 206,"[['CHEM 233'], ['CHEM 234']]"
CHEM 233,"[['CHEM 114'], ['CHEM 104']]"
CHEM 234,"[['CHEM 233'], ['CHEM 234']]"
CHEM 316,[['CHEM 342']]
CHEM 341,"[['CHEM 114'], ['MATH 120']]"
CHEM 341L,"[['CHEM 114'], ['MATH 120']]"
CHEM 342,[['CHEM 341']]
CHEM 342L,[['CHEM 341']]
CHEM 355,[['NAN']]
CHEM 356,[['NAN']]
CHEM 401,[['NAN']]
CHEM 402,[['NAN']]
CHEM 450,[['NAN']]
CHEM 457,[['NAN']]
CHEM 470,[['CHEM 342']]
CHEM 470L,[['NAN']]
CORE 100,[['NAN']]
CORE 120,[['NAN']]
CORE 131,[['NAN']]
CORE 132,[['NAN']]
CORE 140,[['NAN']]
CORE 150,[['NAN']]
CORE 160,[['CORE 150']]
CORE 201,[['CORE 160']]
CORE 210,[['NAN']]
CORE 220,[['NAN']]
CORE 240,[['CORE 131']]
CORE 260,[['CORE 160']]
CORE 360,[['CORE 260']]
CRJ 200,[['NAN']]
CRJ 210,[['CRJ 200']]
CRJ 220,[['CRJ 200']]
CRJ 260,[['NAN']]
CRJ 300,"[['HSS 280'], ['CRJ 200']]"
CRJ 342,[['CRJ 200']]
CRJ 365,[['CRJ 200']]
CRJ 374,[['CRJ 200']]
CRJ 384,[['CRJ 200']]
CRJ 385,[['CRJ 200']]
CRJ 499,[['NAN']]
CSCI 100,[['NAN']]
CSCI 110,[['MATH 110']]
CSCI 110L,[['NAN']]
CSCI 120,[['CSCI 110']]
CSCI 120L,[['NAN']]
CSCI 210,[['NAN']]
CSCI 230,[['CSCI 120']]
CSCI 230L,[['NAN']]
CSCI 241,[['CSCI 120']]
CSCI 241L,[['NAN']]
CSCI 261,"[['CSCI 230'], ['CSCI 241']]"
CSCI 261L,[['NAN']]
CSCI 280,[['NAN']]
CSCI 280L,[['NAN']]
CSCI 282,"[['CSCI 230'], ['CSCI 241']]"
CSCI 282L,[['NAN']]
CSCI 285,[['NAN']]
CSCI 285L,[['NAN']]
CSCI 286,[['MATH 110']]
CSCI 291,"[['CSCI 241'], ['MATH 125']]"
CSCI 310,[['NAN']]
CSCI 312,[['CSCI 241']]
CSCI 312L,[['NAN']]
CSCI 320,"[['CSCI 120'], ['MATH 130']]"
CSCI 360,[['CSCI 230']]
CSCI 370,[['CSCI 241']]
CSCI 380,"[['CSCI 241'], ['MATH 130'], ['MATH 240']]"
CSCI 380L,[['NAN']]
CSCI 390,[['NAN']]
CSCI 390M,[['NAN']]
CSCI 398,[['NAN']]
CSCI 411,[['NAN']]
CSCI 412,[['NAN']]
ECON 230,[['MATH 101']]
ECON 240,[['MATH 101']]
ECON 300,"[['BAD 200'], ['BAD 260'], ['ECON 230'], ['ECON 240']]"
ECON 330,"[['ECON 230'], ['MATH 101'], ['BAD 260']]"
ECON 340,"[['ECON 240'], ['BAD 200', 'MATH 120']]"
ECON 340A,[['ECON 230']]
ECON 350,"[['ECON 230'], ['ECON 240']]"
ECON 370,"[['ECON 230'], ['ECON 240'], ['BAD 200'], ['BAD 260']]"
ECON 400,"[['ECON 330'], ['ECON 340']]"
ECON 400R,"[['ECON 330'], ['ECON 340']]"
ECON 450,"[['ECON 230'], ['ECON 240']]"
EDUC 100,[['NAN']]
EDUC 248,[['NAN']]
EDUC 250,[['NAN']]
EDUC 260,[['NAN']]
EDUC 310,[['NAN']]
EDUC 320,"[['EDUC 250'], ['PSY 205'], ['ADMISSION TO THE ELEMENTARY TEACHER EDUCATION PROGRAM']]"
EDUC 320BL,"[['EDUC 250'], ['EDUC 260'], ['PSY 205']]"
EDUC 330,"[['EDUC 250'], ['PSY 205'], ['ADMISSION TO THE ELEMENTARY TEACHER EDUCATION PROGRAM']]"
EDUC 340,"[['EDUC 250'], ['PSY 205'], ['ADMISSION TO THE SECONDARY TEACHER EDUCATION PROGRAM']]"
EDUC 340BL,"[['EDUC 250'], ['EDUC 260'], ['PSY 205']]"
EDUC 350,"[['EDUC 250'], ['PSY 205'], ['ADMISSION TO THE SECONDARY TEACHER EDUCATION PROGRAM']]"
EDUC 360,[['NAN']]
EDUC 400,"[['EDUC 320'], ['EDUC 330'], ['ADMISSION TO THE ELEMENTARY TEACHER EDUCATION PROGRAM']]"
EDUC 400N,"[['EDUC 320'], ['EDUC 330']]"
EDUC 410,[['NAN']]
EDUC 450,"[['EDUC 340'], ['EDUC 350'], ['ADMISSION TO THE SECONDARY TEACHER EDUCATION PROGRAM']]"
EDUC 450N,"[['EDUC 340'], ['EDUC 350']]"
EDUC 460,[['NAN']]
EDUC 460M,[['EDUC 340']]
ENG 146,[['NAN']]
ENG 150,[['NAN']]
ENG 180,[['NAN']]
ENG 220,[['NAN']]
ENG 222,[['ENG 220']]
ENG 224,[['ENG 220']]
ENG 226,[['ENG 220']]
ENG 232,[['ENG 230']]
ENG 234,[['ENG 230']]
ENG 236,[['ENG 230']]
ENG 240,[['NAN']]
ENG 240F,[['CORE 110']]
ENG 265,[['NAN']]
ENG 275,[['NAN']]
ENG 276,[['NAN']]
ENG 280,[['NAN']]
ENG 290,"[['CORE 150'], ['CORE 160']]"
ENG 330,[['NAN']]
ENG 332,[['ENG 330']]
ENG 334,[['ENG 330']]
ENG 336,[['ENG 330']]
ENG 480,[['NAN']]
FIN 310,[['ACC 240']]
FIN 320,"[['ACC 240'], ['BAD 260'], ['ECON 230']]"
FIN 330,[['FIN 320']]
FIN 350,"[['ECON 230'], ['ECON 240'], ['FIN 320']]"
FIN 350A,"[['ECON 230'], ['ECON 240'], ['ECON 300']]"
FIN 350B,"[['ECON 300'], ['FIN 350A']]"
FIN 360,[['NAN']]
FIN 370,[['FIN 320']]
FIN 410,[['FIN 320']]
FIN 420,[['FIN 320']]
FLM 103,[['NAN']]
FLM 112,[['NAN']]
FLM 201,[['NAN']]
FLM 202,[['NAN']]
FLM 251,[['NAN']]
FLM 260,[['NAN']]
FLM 261,[['FLM 260']]
FLM 271,[['NAN']]
FLM 271A,[['NAN']]
FLM 271 I,[['NAN']]
FLM 280,[['NAN']]
FREN 101,[['NAN']]
FREN 102,[['FREN 101']]
FREN 200,[['FREN 102']]
FREN 301,[['FREN 200']]
FREN 302,[['FREN 200']]
FREN 311,[['FREN 200']]
FREN 312,[['FREN 200']]
FREN 313,[['NAN']]
FREN 314,[['NAN']]
FREN 320,[['NAN']]
FREN 330,[['FREN 311']]
FREN 350,"[['FREN 311'], ['FREN 312']]"
FREN 360,[['NAN']]
FREN 370,[['NAN']]
GRD 101,[['NAN']]
GRD 110,[['NAN']]
GRD 121,[['NAN']]
GRD 210,[['NAN']]
GRD 230,[['NAN']]
GRD 231,[['NAN']]
GRD 232,[['NAN']]
GRD 251,[['NAN']]
GRD 310,[['NAN']]
HCA 201,[['NAN']]
HCA 210,[['HCA 201']]
HCA 310,"[['ECON 230'], ['ECON 240'], ['HCA 201']]"
HCA 320,[['HCA 201']]
HCA 421,"[['BAD 260'], ['HCA 201']]"
HCA 490,"[['BAD 260'], ['HCA 201']]"
HIS 150,[['NAN']]
HIS 160,[['NAN']]
HIS 180,[['NAN']]
HIS 190,[['NAN']]
HIS 200,[['NAN']]
HIS 210,[['NAN']]
HIS 220,[['NAN']]
HIS 230,[['NAN']]
HIS 240,[['NAN']]
HIS 270,"[['CORE 150'], ['ENG 275', 'HIS 180']]"
HIS 300,[['NAN']]
HIS 350,[['NAN']]
HIS 360,[['NAN']]
HIS 370,[['NAN']]
HIS 499,[['NAN']]
HMLS 201,[['NAN']]
HMLS 220,[['NAN']]
HMLS 225,[['NAN']]
HMLS 365,[['NAN']]
HMLS 400,[['NAN']]
HON 111,[['ADMISSION TO THE W.E.B DU BOIS GENERAL UNIVERSITY HONORS PROGRAM']]
HON 112,[['ADMISSION TO THE W.E.B DU BOIS GENERAL UNIVERSITY HONORS PROGRAM']]
HON 121,[['ADMISSION TO THE W.E.B DU BOIS GENERAL UNIVERSITY HONORS PROGRAM']]
HON 122,[['ADMISSION TO THE W.E.B DU BOIS GENERAL UNIVERSITY HONORS PROGRAM']]
HON 211,"[['ADMISSION TO THE W.E.B DU BOIS GENERAL UNIVERSITY HONORS PROGRAM'], ['3.0', 'BETTER GRADE POINT AVERAGE']]"
